,strike,lastPrice,change,openInterest,impliedVolatility,inTheMoney,timeToCall,Close,Volume,Black_Scholes
0,300.0,295.04,0.0,240.0,2.7656280859375,True,4,593.6699829101562,46750300.0,293.8013709681657
1,535.0,55.0,0.0,1.0,0.5449264257812501,True,5,590.5,50032600.0,55.792869843568724
2,540.0,55.04,-0.37999725,2.0,0.6645541357421877,True,4,593.6699829101562,46750300.0,53.90648141457518
3,550.0,46.2,9.780003,1.0,0.5644574804687501,True,3,595.510009765625,38226400.0,45.690678237359634
4,560.0,34.84,5.8899994,5.0,0.4616753051757813,True,3,595.510009765625,38226400.0,35.69396323250078
5,565.0,30.62,2.92,18.0,0.4091855957031249,True,3,595.510009765625,38226400.0,30.69561124953293
6,570.0,25.64,2.08,35.0,0.3562076098632812,True,3,595.510009765625,38226400.0,25.697412158830616
7,575.0,20.35,0.80999947,34.0,0.3029854858398437,True,3,595.510009765625,38226400.0,20.701694126470557
8,576.0,18.56,-0.040000916,75.0,0.291877198486328,True,3,595.510009765625,38226400.0,19.703874492155478
9,577.0,18.9,1.5100002,60.0,0.2807689111328124,True,3,595.510009765625,38226400.0,18.707128190827575
10,578.0,16.58,-0.6399994,232.0,0.2695385546875,True,4,593.6699829101562,46750300.0,15.993774949793647
11,579.0,16.39,-0.010000229,41.0,0.2583081982421875,True,3,595.510009765625,38226400.0,16.71917807921102
12,580.0,15.6,0.97000027,460.0,0.1950764086914062,True,3,595.510009765625,38226400.0,15.729713192140593
13,581.0,13.62,-0.3800001,260.0,0.1762777685546875,True,3,595.510009765625,38226400.0,14.74491786034639
14,582.0,12.75,-0.17000008,367.0,0.1679770703125,True,3,595.510009765625,38226400.0,13.766509697552124
15,583.0,12.8,1.0100002,160.0,0.15821154296875,True,3,595.510009765625,38226400.0,12.796652126618255
16,584.0,11.82,0.96000004,2727.0,0.1496667065429687,True,3,595.510009765625,38226400.0,11.837998894232896
17,585.0,10.88,1.1999998,1085.0,0.1408777319335937,True,3,595.510009765625,38226400.0,10.893717940973147
18,586.0,9.52,0.7400007,1211.0,0.1316004809570312,True,3,595.510009765625,38226400.0,9.967486324258061
19,587.0,8.85,0.9800005,849.0,0.1245204736328125,True,3,595.510009765625,38226400.0,9.063448909660565
20,588.0,7.74,0.7399998,1424.0,0.1164639135742187,True,3,595.510009765625,38226400.0,8.186135820474249
21,589.0,7.2,1.0799999,1571.0,0.1087735607910156,True,3,595.510009765625,38226400.0,7.3403371156126695
22,590.0,5.88,0.46000004,2021.0,0.1018156225585937,True,3,595.510009765625,38226400.0,6.5309375756986014
23,591.0,5.0,0.4000001,2053.0,0.0942473388671875,True,3,595.510009765625,38226400.0,5.762719321965676
24,592.0,4.07,0.19000006,2092.0,0.0872894006347656,True,3,595.510009765625,38226400.0,5.040144614645612
25,593.0,3.22,0.0,1689.0,0.08008732421875,True,3,595.510009765625,38226400.0,4.3671348561421155
26,594.0,2.45,-0.19000006,2674.0,0.0739838696289062,True,3,595.510009765625,38226400.0,3.7468639036457034
27,595.0,1.72,-0.3699999,2889.0,0.0683076568603515,True,3,595.510009765625,38226400.0,3.1815838153551113
28,596.0,1.15,-0.49,3445.0,0.0640962731933593,False,3,595.510009765625,38226400.0,2.672498952313333
29,597.0,0.68,-0.55,1821.0,0.0603121313476562,False,3,595.510009765625,38226400.0,2.219700121939269
30,598.0,0.37,-0.53,3350.0,0.0584810949707031,False,3,595.510009765625,38226400.0,1.8221647010161917
31,599.0,0.19,-0.43,2347.0,0.0571383349609375,False,3,595.510009765625,38226400.0,1.4778221871220865
32,600.0,0.1,-0.31,11640.0,0.0568941967773437,False,3,595.510009765625,38226400.0,1.1836782872411504
33,601.0,0.04,-0.23000002,2262.0,0.057626611328125,False,3,595.510009765625,38226400.0,0.9359853109835399
34,602.0,0.02,-0.14,2609.0,0.06055626953125,False,3,595.510009765625,38226400.0,0.7304429603581326
35,603.0,0.02,-0.08,3298.0,0.06446248046875,False,3,595.510009765625,38226400.0,0.562411977576815
36,604.0,0.01,-0.04,1608.0,0.071298349609375,False,3,595.510009765625,38226400.0,0.4271235740188928
37,605.0,0.01,-0.02,8372.0,0.079110771484375,False,3,595.510009765625,38226400.0,0.31986985260962086
38,606.0,0.01,-0.01,1943.0,0.07813421875,False,3,595.510009765625,38226400.0,0.23616405119545192
39,607.0,0.01,-0.01,1111.0,0.085946640625,False,3,595.510009765625,38226400.0,0.17186374746658828
40,608.0,0.01,-0.01,989.0,0.09180595703125,False,3,595.510009765625,38226400.0,0.12325453845155465
41,609.0,0.01,-0.01,601.0,0.0976652734375,False,3,595.510009765625,38226400.0,0.0870955942185283
42,610.0,0.01,0.0,1271.0,0.1035245898437499,False,3,595.510009765625,38226400.0,0.06063150311643284
43,611.0,0.01,0.0,286.0,0.10938390625,False,3,595.510009765625,38226400.0,0.04157678331874237
44,612.0,0.01,0.0,2778.0,0.117196328125,False,3,595.510009765625,38226400.0,0.028080324031713566
45,613.0,0.01,0.0,714.0,0.12305564453125,False,3,595.510009765625,38226400.0,0.01867697599273388
46,614.0,0.02,0.0,2697.0,0.1289149609375,False,4,593.6699829101562,46750300.0,0.02067135191105507
47,615.0,0.01,-0.01,3326.0,0.13477427734375,False,3,595.510009765625,38226400.0,0.007888997170124146
48,616.0,0.01,0.0,399.0,0.14063359375,False,3,595.510009765625,38226400.0,0.005009206279139589
49,617.0,0.01,0.0,3024.0,0.148446015625,False,5,590.5,50032600.0,0.0062987132902472265
50,618.0,0.01,0.0,221.0,0.1523522265625,False,3,595.510009765625,38226400.0,0.001927159618708818
51,619.0,0.01,0.0,4049.0,0.1601646484375,False,3,595.510009765625,38226400.0,0.0011675673296573374
52,620.0,0.01,-0.01,1434.0,0.164070859375,False,5,590.5,50032600.0,0.002066280325282166
53,621.0,0.01,0.0,4644.0,0.17188328125,False,5,590.5,50032600.0,0.0013990143769681551
54,622.0,0.01,0.0,261.0,0.1757894921875,False,3,595.510009765625,38226400.0,0.00023625673054190888
55,623.0,0.01,0.0,1285.0,0.1836019140624999,False,5,590.5,50032600.0,0.0006238188332519379
56,624.0,0.01,0.0,709.0,0.187508125,False,4,593.6699829101562,46750300.0,0.0003155151930860911
57,625.0,0.01,0.0,165.0,0.195320546875,False,5,590.5,50032600.0,0.0002680766426335496
58,630.0,0.01,0.0,4008.0,0.2226640234374999,False,5,590.5,50032600.0,2.762203271847001e-05
59,635.0,0.01,0.0,210.0,0.2500075,False,5,590.5,50032600.0,2.263620492441243e-06
60,640.0,0.01,0.0,128.0,0.2812571874999999,False,7,588.1500244140625,37084100.0,4.191604310194727e-06
61,645.0,0.01,0.0,680.0,0.304694453125,False,11,593.3499755859375,38904100.0,0.0004983240798363403
62,300.0,289.64,0.0,20.0,2.488285029296875,True,7,590.2999877929688,49412000.0,290.52987913068426
63,490.0,105.69,9.650002,4.0,0.831056376953125,True,8,588.1500244140625,37084100.0,98.57913141708588
64,505.0,83.85,0.0,4.0,0.7226590234375,True,11,585.75,75988800.0,81.35798416603177
65,535.0,59.58,8.310001,1.0,0.5029346582031251,True,11,585.75,75988800.0,51.394176216687924
66,565.0,30.94,5.6800003,17.0,0.364264169921875,True,4,595.510009765625,38226400.0,30.757555751253562
67,570.0,25.06,0.45999908,13.0,0.2827220166015625,True,4,595.510009765625,38226400.0,25.760966678978775
